mol,rseq,mseq,S,E_conf,E_place,E_score1
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,1,-67.015854,52.23106,-67.015854,-67.015854
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,2,-59.078087,52.231064,-59.078087,-59.078087
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,3,-50.685349,52.484806,-50.685349,-50.685349
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,4,-55.488876,52.484806,-55.488876,-55.488876
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,5,-65.039085,52.713356,-65.039085,-65.039085
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,6,-55.716969,52.71336,-55.716969,-55.716969
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,7,-56.208241,53.15287,-56.208241,-56.208241
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,8,-60.521492,53.15287,-60.521492,-60.521492
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,9,-54.382126,69.687492,-54.382126,-54.382126
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,10,-55.384789,69.6875,-55.384789,-55.384789
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,11,-59.200344,69.793999,-59.200344,-59.200344
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,12,-55.842232,69.793999,-55.842232,-55.842232
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,85,-56.063187,70.576607,-56.063187,-56.063187
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,86,-52.921532,70.587288,-52.921532,-52.921532
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,87,-55.882172,70.587296,-55.882172,-55.882172
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,88,-55.100571,71.584267,-55.100571,-55.100571
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,89,-58.904778,72.092651,-58.904778,-58.904778
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,90,-60.343426,72.092659,-60.343426,-60.343426
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,91,-52.559143,72.339264,-52.559143,-52.559143
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,92,-63.741344,72.339287,-63.741344,-63.741344
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,93,-55.643372,72.462761,-55.643372,-55.643372
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,94,-60.083817,72.555466,-60.083817,-60.083817
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,95,-53.548046,72.635384,-53.548046,-53.548046
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,96,-64.848419,72.635399,-64.848419,-64.848419
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,25,-53.988605,70.91497,-53.988605,-53.988605
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,26,-59.038868,70.966347,-59.038868,-59.038868
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,27,-54.614895,70.966354,-54.614895,-54.614895
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,28,-61.798504,71.231636,-61.798504,-61.798504
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,29,-55.920723,71.231644,-55.920723,-55.920723
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,30,-51.906067,71.296158,-51.906067,-51.906067
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,31,-59.534748,71.296158,-59.534748,-59.534748
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,32,-56.817696,71.455391,-56.817696,-56.817696
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,33,-53.762039,71.455391,-53.762039,-53.762039
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,34,-54.053345,71.677147,-54.053345,-54.053345
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,35,-54.961468,71.72963,-54.961468,-54.961468
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,36,-53.37624,71.72966,-53.37624,-53.37624
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,73,-59.290092,72.828964,-59.290092,-59.290092
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,74,-54.49379,69.612289,-54.49379,-54.49379
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,75,-51.533203,69.612289,-51.533203,-51.533203
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,76,-60.381786,69.702423,-60.381786,-60.381786
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,77,-54.176361,69.702431,-54.176361,-54.176361
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,78,-55.436024,70.394554,-55.436024,-55.436024
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,79,-59.199162,70.394554,-59.199162,-59.199162
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,80,-51.780312,70.46817,-51.780312,-51.780312
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,81,-51.459202,70.468178,-51.459202,-51.459202
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,82,-55.107891,70.483887,-55.107891,-55.107891
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,83,-51.538254,70.483894,-51.538254,-51.538254
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,84,-54.601547,70.576584,-54.601547,-54.601547
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,61,-68.322502,71.231636,-68.322502,-68.322502
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,62,-60.10363,71.296158,-60.10363,-60.10363
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,63,-64.773888,71.296158,-64.773888,-64.773888
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,64,-55.178513,71.677147,-55.178513,-55.178513
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,65,-54.264668,71.677177,-54.264668,-54.264668
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,66,-52.255646,71.729668,-52.255646,-52.255646
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,67,-57.838886,71.811356,-57.838886,-57.838886
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,68,-57.620018,71.811363,-57.620018,-57.620018
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,69,-64.759506,71.882416,-64.759506,-64.759506
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,70,-64.579765,71.882416,-64.579765,-64.579765
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,71,-55.243431,72.405853,-55.243431,-55.243431
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,72,-53.40136,72.415871,-53.40136,-53.40136
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,97,-59.387894,72.74231,-59.387894,-59.387894
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,98,-54.869465,73.009094,-54.869465,-54.869465
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,99,-53.28503,73.013046,-53.28503,-53.28503
