mol,rseq,mseq,S,E_conf,E_place,E_score1
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,1,-5.9421058,52.23106,-50.189682,-5.9421058
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,2,-5.5734706,52.231064,-42.628761,-5.5734706
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,3,-4.5697484,52.484806,-39.046967,-4.5697484
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,4,-5.3455005,52.484806,-51.372791,-5.3455005
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,5,-5.0825438,52.713356,-50.929787,-5.0825438
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,6,-5.8631873,52.71336,-53.732079,-5.8631873
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,7,-6.0558162,53.15287,-49.139523,-6.0558162
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,8,-4.2656493,53.15287,-48.653847,-4.2656493
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,9,-3.4448638,69.687492,-46.738388,-3.4448638
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,10,-3.6794553,69.6875,-33.582375,-3.6794553
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,11,-3.9636004,69.793999,-34.225029,-3.9636004
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,12,-3.9451864,69.793999,-42.850811,-3.9451864
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,85,-3.838872,70.576607,-45.074753,-3.838872
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,86,-3.8780684,70.587288,-36.696495,-3.8780684
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,87,-4.8265681,70.587296,-41.628185,-4.8265681
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,88,-3.6053438,71.584267,-28.874823,-3.6053438
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,89,-4.2278566,72.092651,-24.227072,-4.2278566
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,90,-7.3990321,72.092659,-59.139034,-7.3990321
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,91,-4.0171723,72.339264,-44.307163,-4.0171723
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,92,-6.2225838,72.339287,-51.187508,-6.2225838
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,93,-5.3002057,72.462761,-53.470539,-5.3002057
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,94,-4.0405674,72.555466,-46.304405,-4.0405674
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,95,-3.7742496,72.635384,-35.240997,-3.7742496
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,96,-3.4588208,72.635399,-34.53857,-3.4588208
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,25,-5.45578,70.91497,-46.768925,-5.45578
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,26,-5.3077774,70.966347,-50.038395,-5.3077774
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,27,-3.7098851,70.966354,-44.196014,-3.7098851
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,28,-8.1789255,71.231636,-61.798504,-8.1789255
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,29,-5.4315581,71.231644,-49.055798,-5.4315581
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,30,-4.8492141,71.296158,-44.491489,-4.8492141
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,31,-4.1051102,71.296158,-45.329723,-4.1051102
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,32,-5.3303094,71.455391,-56.817696,-5.3303094
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,33,-5.6816535,71.455391,-51.288563,-5.6816535
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,34,-6.4589825,71.677147,-51.851639,-6.4589825
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,35,-5.5833931,71.72963,-54.961468,-5.5833931
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,36,-3.339654,71.72966,-48.511395,-3.339654
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,73,-4.400888,72.828964,-40.45649,-4.400888
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,74,-3.6733766,69.612289,-27.049191,-3.6733766
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,75,-4.6703992,69.612289,-30.431269,-4.6703992
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,76,-3.6943219,69.702423,-44.166615,-3.6943219
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,77,-4.7492385,69.702431,-32.506184,-4.7492385
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,78,-4.490972,70.394554,-43.179451,-4.490972
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,79,-4.5117373,70.394554,-49.768909,-4.5117373
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,80,-3.6855068,70.46817,-50.874569,-3.6855068
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,81,-4.872694,70.468178,-30.640388,-4.872694
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,82,-3.5012403,70.483887,-33.340324,-3.5012403
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,83,-3.811949,70.483894,-27.462011,-3.811949
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,84,-3.9046011,70.576584,-37.517887,-3.9046011
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,97,-4.6256089,72.74231,-42.38797,-4.6256089
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,98,-6.8251033,73.009094,-48.082523,-6.8251033
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,99,-6.2403708,73.013046,-47.704479,-6.2403708
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,100,-4.7116804,73.013184,-49.711296,-4.7116804
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,101,-3.520781,69.999413,-35.604172,-3.520781
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,102,-4.5839925,69.999413,-39.969933,-4.5839925
