mol,rseq,mseq,S,E_conf,E_place,E_score1
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,1,-7.0004129,52.23106,-39.351521,-7.0004129
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,2,-6.9402719,52.231064,-23.253803,-6.9402719
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,3,-7.117691,52.484806,-23.376999,-7.117691
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,4,-7.6808672,52.484806,-38.875565,-7.6808672
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,5,-7.108192,52.713356,-23.094282,-7.108192
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,6,-6.8621588,52.71336,-44.112267,-6.8621588
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,7,-6.9872656,53.15287,-38.480972,-6.9872656
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,8,-7.0566435,53.15287,-23.204485,-7.0566435
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,9,-6.7864423,69.687492,-25.317616,-6.7864423
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,10,-7.1213155,69.6875,-41.449802,-7.1213155
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,11,-7.4493656,69.793999,-32.109512,-7.4493656
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,12,-6.709507,69.793999,-40.586235,-6.709507
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,85,-7.6084948,70.576607,-21.04887,-7.6084948
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,86,-7.245522,70.587288,-27.265095,-7.245522
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,87,-7.352747,70.587296,-18.371618,-7.352747
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,88,-7.2299428,71.584267,-18.865715,-7.2299428
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,89,-6.9828043,72.092651,-18.879538,-6.9828043
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,90,-6.9277072,72.092659,-32.41497,-6.9277072
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,91,-7.2983074,72.339264,-32.684158,-7.2983074
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,92,-9.1007023,72.339287,-31.185173,-9.1007023
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,93,-6.8807778,72.462761,-41.959805,-6.8807778
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,94,-7.5384626,72.555466,-17.759726,-7.5384626
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,95,-7.4614987,72.635384,-30.773399,-7.4614987
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,96,-7.7155919,72.635399,-34.430336,-7.7155919
