mol,E_score1
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.7687
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-94.1433
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-93.6989
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.0461
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.929
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.6303
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.1625
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-94.9912
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-93.7816
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.5693
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.7569
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.2293
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-93.78
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-93.5423
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.1809
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.3627
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.6963
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.6666
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.5994
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.1515
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-93.0759
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.6618
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.4513
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.3046
