mol,E_score1
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.5952
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.094
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.9607
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.742
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.673
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.1499
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.7238
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.4005
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.5022
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.9202
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.3141
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.8484
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.6515
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.7244
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.1739
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.0231
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.2491
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.6648
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.0427
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.0278
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.1837
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.8705
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.8455
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.5479
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.5557
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.8327
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.6692
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.9092
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.2484
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.1006
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.2739
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.3099
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.9821
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.088
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.3515
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.8447
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.6085
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.5475
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.1478
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.8632
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.5784
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.408
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.3759
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.2382
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.972
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.8342
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.7351
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.3314
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.6032
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.4629
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.0416
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.5049
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.6164
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.1146
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.5943
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.7713
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.5031
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.3311
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.4343
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-85.8646
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.9962
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.7637
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.548
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.9458
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.5041
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.0812
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.364
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.808
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.9557
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.8796
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.7252
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.9657
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.3765
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.4041
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.2369
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.4385
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.7639
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.8662
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.5773
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.2431
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.3836
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.1602
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.9079
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.0106
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.8913
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.9494
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.3366
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.1693
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.676
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.1495
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.5111
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.2251
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.7768
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.4398
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.239
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.851
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.3484
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.8938
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.2288
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-86.7643
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.048
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.714
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.111
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.242
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.8908
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.873
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-94.4695
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-94.4185
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.309
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-92.9355
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-104.727
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.788
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.5548
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.451
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-94.7541
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.819
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-92.173
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.055
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.8285
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.212
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-95.9893
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.535
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.0809
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.779
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-94.2109
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.17
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.662
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.582
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.234
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.793
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.767
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.204
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.4993
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.533
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.975
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.5068
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-92.6538
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.0408
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.5215
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.3766
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-94.4927
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-94.4117
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.5021
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.354
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-95.4044
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-105.904
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-103.881
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.1501
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-94.1612
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.2759
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-93.2473
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.505
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.773
