mol,rseq,mseq,S,E_conf,E_place,E_score1
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,277,-8.7343035,55.536659,-54.090004,-8.7343035
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,278,-7.3113737,55.536663,-8.5115108,-7.3113737
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,279,-8.4500875,55.653137,-22.180931,-8.4500875
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,280,-8.3226957,55.653137,-44.938957,-8.3226957
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,281,-8.4471102,55.679314,-26.028315,-8.4471102
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,282,-7.8431644,55.753456,-38.88665,-7.8431644
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,283,-8.1166058,55.75346,-20.379232,-8.1166058
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,284,-7.9887986,55.754734,-17.716112,-7.9887986
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,285,-7.9431663,55.755196,-36.265442,-7.9431663
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,286,-7.725152,55.755215,-23.7906,-7.725152
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,287,-7.687017,55.798012,-33.129234,-7.687017
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,288,-7.5888219,55.899548,-37.798306,-7.5888219
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,265,-7.8200259,55.205135,-27.485722,-7.8200259
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,266,-7.4934425,55.205173,-38.501919,-7.4934425
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,267,-7.5152154,55.262749,-49.506237,-7.5152154
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,268,-7.8160825,55.352024,-16.479733,-7.8160825
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,269,-7.5583391,55.352028,-27.44265,-7.5583391
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,270,-8.2154865,55.38253,-26.603243,-8.2154865
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,271,-7.4232769,55.444969,-33.484188,-7.4232769
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,272,-7.4513478,55.463558,-60.93771,-7.4513478
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,273,-9.1077423,55.463566,-29.109587,-9.1077423
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,274,-8.4738092,55.513084,-27.555878,-8.4738092
Clc1ccccc1CS(=O)(=O)Nc1cc2ncn(c2cc1)Cc1ccccc1,1,275,-9.2528706,55.530754,-70.449989,-9.2528706
