mol,rseq,mseq,S,E_conf,E_place,E_score1
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,265,-102.12853,37.259632,-102.12853,-102.12853
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,266,-98.457039,37.420467,-98.457039,-98.457039
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,267,-83.451355,37.53297,-83.451355,-83.451355
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,268,-97.992935,37.53524,-97.992935,-97.992935
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,269,-85.983154,37.585464,-85.983154,-85.983154
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,270,-83.815376,37.585499,-83.815376,-83.815376
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,271,-88.535324,37.618473,-88.535324,-88.535324
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,272,-69.763184,37.6185,-69.763184,-69.763184
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,273,-96.027405,37.653984,-96.027405,-96.027405
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,274,-95.016342,37.653999,-95.016342,-95.016342
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,275,-83.628822,37.670639,-83.628822,-83.628822
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,276,-84.576767,37.695503,-84.576767,-84.576767
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,229,-92.713142,36.241287,-92.713142,-92.713142
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,230,-103.55594,36.241299,-103.55594,-103.55594
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,231,-93.617035,36.422798,-93.617035,-93.617035
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,232,-76.298187,36.422867,-76.298187,-76.298187
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,233,-75.82003,36.430817,-75.82003,-75.82003
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,234,-78.234833,36.43082,-78.234833,-78.234833
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,235,-74.900177,36.454494,-74.900177,-74.900177
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,236,-79.686127,36.454498,-79.686127,-79.686127
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,237,-82.436989,36.547642,-82.436989,-82.436989
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,238,-84.186844,36.592415,-84.186844,-84.186844
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,239,-81.347519,36.592422,-81.347519,-81.347519
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,240,-85.38562,36.622658,-85.38562,-85.38562
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,253,-99.967178,36.910503,-99.967178,-99.967178
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,254,-88.181808,37.011463,-88.181808,-88.181808
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,255,-86.49984,37.011482,-86.49984,-86.49984
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,256,-82.991432,37.070164,-82.991432,-82.991432
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,257,-81.102005,37.070179,-81.102005,-81.102005
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,258,-104.04989,37.144787,-104.04989,-104.04989
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,259,-96.126549,37.144794,-96.126549,-96.126549
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,260,-86.733765,37.174465,-86.733765,-86.733765
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,261,-93.247658,37.208099,-93.247658,-93.247658
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,262,-88.958664,37.208157,-88.958664,-88.958664
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,263,-86.495079,37.216293,-86.495079,-86.495079
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,264,-86.385002,37.259628,-86.385002,-86.385002
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,217,-90.561028,35.769993,-90.561028,-90.561028
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,218,-96.101097,35.77,-96.101097,-96.101097
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,219,-90.648209,35.804295,-90.648209,-90.648209
