mol,rseq,mseq,S,E_conf,E_place,E_score1
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,229,-6.2410889,36.241287,-92.713142,-6.2410889
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,230,-6.0997243,36.241299,-84.106468,-6.0997243
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,231,-3.6430492,36.422798,-59.15976,-3.6430492
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,232,-3.8435767,36.422867,-58.637554,-3.8435767
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,233,-3.7134538,36.430817,-56.971889,-3.7134538
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,234,-4.8923459,36.43082,-69.191017,-4.8923459
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,235,-5.1933203,36.454494,-74.900177,-5.1933203
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,236,-5.1150346,36.454498,-76.94593,-5.1150346
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,237,-4.3174744,36.547642,-75.057083,-4.3174744
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,238,-4.7509027,36.592415,-74.217224,-4.7509027
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,239,-5.5827408,36.592422,-81.347519,-5.5827408
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,240,-4.5544968,36.622658,-75.257072,-4.5544968
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,265,-6.0511403,37.259632,-86.752899,-6.0511403
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,266,-5.4494157,37.420467,-80.383614,-5.4494157
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,267,-5.7077665,37.53297,-67.213287,-5.7077665
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,268,-6.2651539,37.53524,-72.579849,-6.2651539
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,269,-5.5341296,37.585464,-72.678177,-5.5341296
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,270,-5.6240897,37.585499,-58.797638,-5.6240897
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,271,-3.2816205,37.618473,-53.244171,-3.2816205
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,272,-4.2682285,37.6185,-63.677372,-4.2682285
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,273,-5.5589232,37.653984,-68.769684,-5.5589232
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,274,-5.6503501,37.653999,-71.956795,-5.6503501
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,275,-3.8741729,37.670639,-78.78466,-3.8741729
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,276,-5.7661037,37.695503,-73.772522,-5.7661037
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,253,-6.06674,36.910503,-76.106796,-6.06674
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,254,-5.3272099,37.011463,-73.72052,-5.3272099
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,255,-6.0461369,37.011482,-65.210556,-6.0461369
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,256,-2.4911895,37.070164,-67.491379,-2.4911895
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,257,-3.1774004,37.070179,-66.307228,-3.1774004
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,258,-6.5160613,37.144787,-86.333992,-6.5160613
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,259,-5.4796119,37.144794,-84.978065,-5.4796119
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,260,-5.481977,37.174465,-84.867661,-5.481977
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,261,-5.4358621,37.208099,-65.381287,-5.4358621
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,262,-5.134088,37.208157,-81.278633,-5.134088
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,263,-5.8020177,37.216293,-85.927002,-5.8020177
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,264,-5.7679753,37.259628,-69.23526,-5.7679753
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,205,-2.8634851,35.096855,-54.912674,-2.8634851
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,206,-4.5277343,35.096867,-82.636658,-4.5277343
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,207,-4.518117,35.115738,-80.344406,-4.518117
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,208,-4.3741145,35.115746,-75.203011,-4.3741145
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,209,-6.0541596,35.204319,-88.471436,-6.0541596
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,210,-6.364099,35.204334,-71.624855,-6.364099
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,211,-6.5326085,35.256695,-78.931679,-6.5326085
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,212,-5.5516477,35.256702,-88.808182,-5.5516477
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,213,-6.0476351,35.718323,-83.167847,-6.0476351
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,214,-5.5945807,35.71833,-78.141907,-5.5945807
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,215,-6.4636097,35.753311,-64.02314,-6.4636097
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,216,-6.1383533,35.753319,-82.821159,-6.1383533
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,217,-6.2969508,35.769993,-80.524109,-6.2969508
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,218,-5.3203678,35.77,-86.696938,-5.3203678
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,219,-6.6160655,35.804295,-88.128273,-6.6160655
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,220,-6.3132749,35.804352,-74.728668,-6.3132749
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,221,-2.962873,35.861507,-37.962509,-2.962873
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,222,-3.2025621,35.861507,-40.027401,-3.2025621
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,223,-6.4344521,36.008106,-70.959396,-6.4344521
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,224,-5.888926,36.00811,-89.192444,-5.888926
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,225,-6.9013972,36.039398,-83.053566,-6.9013972
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,226,-6.3561845,36.039406,-71.683876,-6.3561845
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,227,-6.1415887,36.09116,-80.469864,-6.1415887
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,228,-5.9538031,36.09116,-86.352119,-5.9538031
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,277,-7.0435686,37.750511,-94.695122,-7.0435686
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,278,-6.4426465,37.768562,-79.63839,-6.4426465
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,279,-6.4577208,37.768574,-85.247215,-6.4577208
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,280,-6.650363,37.802067,-81.881607,-6.650363
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,281,-4.9204803,37.880375,-68.122787,-4.9204803
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,282,-6.6159358,37.939064,-83.09375,-6.6159358
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,283,-6.4930224,37.999538,-72.916199,-6.4930224
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,284,-6.3761244,38.172527,-82.674072,-6.3761244
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,285,-6.5440965,38.228897,-76.512215,-6.5440965
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,286,-6.201684,38.228916,-85.858803,-6.201684
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,287,-5.9946504,38.282654,-73.108963,-5.9946504
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,288,-6.4388685,38.282745,-69.122574,-6.4388685
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,241,-6.2012682,36.622658,-73.954689,-6.2012682
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,242,-6.0339713,36.711174,-78.514961,-6.0339713
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,243,-6.3300109,36.711178,-78.592133,-6.3300109
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,244,-6.6018357,36.742851,-81.994415,-6.6018357
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,245,-6.2744946,36.763489,-65.341263,-6.2744946
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,246,-6.3301983,36.763493,-81.767769,-6.3301983
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,247,-6.0143867,36.7808,-72.358902,-6.0143867
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,248,-6.6371326,36.780804,-97.665352,-6.6371326
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,249,-6.2431479,36.795219,-71.903862,-6.2431479
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,250,-6.3000064,36.79525,-96.574287,-6.3000064
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,251,-6.6413512,36.833424,-109.08418,-6.6413512
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,252,-6.4729438,36.833447,-88.497261,-6.4729438
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,109,-7.0944901,38.48111,-76.179764,-7.0944901
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,110,-6.3535228,38.491077,-48.949146,-6.3535228
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,111,-6.1673493,38.491127,-61.533779,-6.1673493
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,112,-5.857091,38.522186,-66.287148,-5.857091
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,113,-7.4537201,38.522224,-70.029633,-7.4537201
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,114,-7.7178016,38.532532,-78.013847,-7.7178016
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,115,-6.4108343,38.54353,-52.59861,-6.4108343
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,116,-6.4827056,38.60508,-51.254051,-6.4827056
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,117,-5.6114159,38.605091,-63.839867,-5.6114159
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,118,-8.6814432,38.653675,-78.333946,-8.6814432
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,119,-7.8699102,38.653694,-73.12722,-7.8699102
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,120,-8.5494995,38.712917,-76.80069,-8.5494995
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,97,-8.2116404,37.579845,-82.382889,-8.2116404
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,98,-7.0625663,37.599915,-68.705376,-7.0625663
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,99,-7.3656244,37.599915,-74.409904,-7.3656244
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,100,-7.3035922,37.846661,-60.337807,-7.3035922
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,101,-7.8908553,37.846664,-74.350792,-7.8908553
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,102,-7.2479405,38.121193,-65.867455,-7.2479405
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,103,-6.2731204,38.121201,-69.34565,-6.2731204
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,104,-7.5723243,38.121742,-70.615105,-7.5723243
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,105,-6.9752755,38.121746,-76.587776,-6.9752755
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,106,-8.3069239,38.15638,-96.672707,-8.3069239
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,107,-6.7344127,38.156387,-70.080132,-6.7344127
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,108,-5.1600375,38.481083,-69.610428,-5.1600375
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,289,-6.5873194,38.335213,-83.40097,-6.5873194
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,290,-6.2148356,38.335239,-93.034996,-6.2148356
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,291,-4.4625559,38.4189,-85.337418,-4.4625559
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,292,-6.1838975,38.468575,-80.597183,-6.1838975
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,293,-5.2041101,38.532261,-77.613281,-5.2041101
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,294,-6.2929716,38.766422,-65.799309,-6.2929716
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,295,-6.2163525,38.770477,-93.760963,-6.2163525
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,296,-5.6095924,39.064297,-74.903748,-5.6095924
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,297,-5.6865196,39.064308,-76.878059,-5.6865196
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,298,-4.8713822,39.165955,-52.798122,-4.8713822
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,299,-5.9529972,39.171608,-78.498566,-5.9529972
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,1,300,-5.2551551,39.171677,-66.188873,-5.2551551
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,121,-7.8304238,38.712936,-77.787781,-7.8304238
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,122,-7.8673964,38.730354,-77.868179,-7.8673964
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,123,-8.7325563,38.802616,-87.488411,-8.7325563
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,124,-7.5293741,38.802616,-72.905136,-7.5293741
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,125,-6.2125106,38.803165,-58.142727,-6.2125106
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,126,-5.7400899,38.803211,-60.923317,-5.7400899
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,127,-8.629137,38.824551,-75.40258,-8.629137
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,128,-7.8968449,39.342148,-85.455803,-7.8968449
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,129,-5.8033943,39.342159,-50.329746,-5.8033943
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,130,-6.684751,39.377922,-74.000076,-6.684751
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,131,-7.1108561,39.377926,-74.198502,-7.1108561
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,132,-5.5113053,39.386425,-59.536705,-5.5113053
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,133,-7.3291564,39.407841,-77.845474,-7.3291564
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,134,-8.157197,39.411423,-97.106743,-8.157197
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,135,-7.5068874,39.430485,-85.902534,-7.5068874
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,136,-5.8780379,39.430546,-41.48214,-5.8780379
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,137,-6.5654445,39.468712,-70.419662,-6.5654445
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,138,-4.4379725,39.497509,-69.118568,-4.4379725
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,139,-7.1920867,39.515018,-50.62936,-7.1920867
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,140,-6.6579981,39.581188,-87.617363,-6.6579981
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,141,-6.7290602,39.581192,-74.167053,-6.7290602
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,142,-7.3219662,39.587696,-76.303497,-7.3219662
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,143,-6.9256763,39.594841,-73.597771,-6.9256763
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,144,-6.9366169,39.646843,-70.418922,-6.9366169
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,169,-7.3974223,40.053448,-71.332092,-7.3974223
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,170,-7.749691,40.058647,-68.09613,-7.749691
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,1,171,-5.1788802,40.06192,-62.413235,-5.1788802
