mol,E_score1
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-99.9385
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-100.832
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-100.692
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-98.9222
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-98.9139
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-100.846
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-99.7433
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-98.9631
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-99.8247
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-102.099
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-99.2699
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-101.656
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-101.835
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-99.5063
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-99.42
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-100.345
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-96.3629
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-101.647
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-96.3917
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-101.643
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-99.9944
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-98.2864
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-98.2137
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-100.116
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-99.9163
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-96.2086
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-96.2011
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-100.071
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-99.5901
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-96.482
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-99.6503
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-96.5993
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-95.3302
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-101.141
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-98.173
