mol,E_score1
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-99.7796
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-98.1138
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-99.0064
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-99.5541
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-98.532
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-99.2569
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-100.13
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-99.203
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-100.245
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-101.258
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-98.5052
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-99.0914
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-99.3064
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-100.412
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-100.65
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-99.3851
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-98.0115
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-97.1547
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-100.656
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-100.024
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-99.6604
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-99.7782
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-97.3057
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-100.24
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-98.1742
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-100.915
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-99.6765
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-98.7812
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-98.6414
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-99.4455
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-97.4538
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-99.5167
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-98.7244
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-97.3736
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-100.688
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(NS(=O)(=O)C)cc1,-101.064
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-99.1939
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-98.6234
s1c(ccc1CN(S(=O)(=O)Cc1ccccc1)CC(C)C)-c1ccc(cc1)C(=O)N,-99.2263
