mol,rseq,mseq,S,E_conf,E_place,E_score1
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,25,-90.695427,68.808754,-90.695427,-90.695427
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,26,-124.4059,68.813156,-124.4059,-124.4059
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,27,-98.413506,68.819649,-98.413506,-98.413506
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,28,-109.49007,68.898193,-109.49007,-109.49007
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,29,-109.33377,68.927505,-109.33377,-109.33377
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,30,-88.175117,68.958717,-88.175117,-88.175117
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,31,-112.40266,69.046135,-112.40266,-112.40266
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,32,-90.777626,69.145187,-90.777626,-90.777626
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,33,-109.24729,69.224541,-109.24729,-109.24729
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,34,-115.41625,69.322762,-115.41625,-115.41625
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,35,-108.47014,69.481789,-108.47014,-108.47014
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,36,-116.84492,69.565704,-116.84492,-116.84492
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,37,-108.34563,69.971519,-108.34563,-108.34563
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,38,-124.63938,70.000252,-124.63938,-124.63938
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,39,-120.4502,70.055008,-120.4502,-120.4502
