docking_score_CHEMPLP_1DB1,docking_score_london_1DB1,docking_score_ASE_1DB1,docking_score_AHB_1DB1,docking_score_AdG_1DB1,docking_score_CHEMPLP_3KPZ,docking_score_london_3KPZ,docking_score_ASE_3KPZ,docking_score_AHB_3KPZ,docking_score_AdG_3KPZ
4.2439103,0.58645874,1.0285199,4.9476333,0.8596844,0.9711864,0.57304996,1.0231259,5.2894354,0.8423974
4.1683383,0.53706276,0.9817367,4.904584,0.7848804,0.9274084,0.5319107,0.97698396,5.4853544,0.8539106
4.151026,0.56892484,1.0337408,5.102871,0.90781516,1.0054188,0.59214085,1.0395354,5.59847,0.9234223
4.1132483,0.5644078,1.0174849,5.3042417,0.8636328,0.9452348,0.55865794,1.0146285,5.632826,0.87071574
4.2844057,0.57868874,0.99911237,4.968403,0.80618453,1.0634627,0.5705599,0.99159503,5.6002035,0.85808957
4.292139,0.57026327,0.98958236,4.8748083,0.8997553,1.0303301,0.586379,0.95644915,5.3464246,0.9123336
4.1866007,0.58001673,0.992531,4.9641757,0.8498293,0.99165314,0.5588733,0.977555,5.331976,0.89678997
4.2321477,0.5564975,0.96947974,4.637379,0.75078213,0.9911091,0.5511568,0.9622021,5.1541934,0.81880206
4.0916996,0.5551295,1.0000056,4.9791274,0.8410922,0.99166435,0.55819213,0.9854536,5.490625,0.886695
4.070638,0.5953056,1.0080019,5.0629487,0.8623723,0.9863126,0.58730716,0.9944357,5.517282,0.89096
